Id,Temperatura,Humedad,fecha_actual
240,27.5,60,12/09/2024 12:55
241,27.5,59.4,12/09/2024 12:55
242,27.5,59.1,12/09/2024 12:55
243,27.5,58.9,12/09/2024 12:55
244,27.5,59,12/09/2024 12:56
245,27.5,58.8,12/09/2024 12:56
246,27.4,58.8,12/09/2024 12:56
247,27.5,58.8,12/09/2024 12:56
248,27.5,58.8,12/09/2024 12:56
249,27.4,59.1,12/09/2024 12:56
250,27.4,59,12/09/2024 12:57
251,27.4,59,12/09/2024 12:57
252,27.4,59.8,12/09/2024 12:57
253,27.4,59.9,12/09/2024 12:57
254,27.4,59.4,12/09/2024 12:57
255,27.4,59.5,12/09/2024 12:57
256,27.4,59.6,12/09/2024 12:58
257,27.4,59.3,12/09/2024 12:58
258,27.4,59.5,12/09/2024 12:58
259,27.4,59.6,12/09/2024 12:58
260,27.4,59.5,12/09/2024 12:58
261,27.4,59.3,12/09/2024 12:59
262,27.4,59.6,12/09/2024 12:59
263,27.4,59.8,12/09/2024 12:59
264,27.4,59.9,12/09/2024 12:59
265,27.4,59.6,12/09/2024 12:59
266,27.4,59.5,12/09/2024 12:59
267,27.4,59.4,12/09/2024 13:00
268,27.4,59.4,12/09/2024 13:00
269,27.4,59.3,12/09/2024 13:00
270,27.4,59.3,12/09/2024 13:00
271,27.4,59.5,12/09/2024 13:00
272,27.4,59.8,12/09/2024 13:01
273,27.4,59.6,12/09/2024 13:01
274,27.4,59.7,12/09/2024 13:01
275,27.4,60.4,12/09/2024 13:01
276,27.4,60.6,12/09/2024 13:01
277,27.4,60.6,12/09/2024 13:01
278,27.4,60.9,12/09/2024 13:02
279,27.5,60.1,12/09/2024 13:02
280,27.5,59.8,12/09/2024 13:02
281,27.5,59.8,12/09/2024 13:02
282,27.5,60.6,12/09/2024 13:02
283,27.5,60.7,12/09/2024 13:02
284,27.5,60.5,12/09/2024 13:03
285,27.5,60.6,12/09/2024 13:03
286,27.5,60,12/09/2024 13:03
287,27.5,60.3,12/09/2024 13:03
288,27.6,60.1,12/09/2024 13:03
289,27.5,59.9,12/09/2024 13:04
290,27.6,60.1,12/09/2024 13:04
291,27.6,60,12/09/2024 13:04
292,27.6,59.9,12/09/2024 13:04
293,27.6,60,12/09/2024 13:04
294,27.6,60,12/09/2024 13:04
295,27.6,60.1,12/09/2024 13:05
296,27.6,59.8,12/09/2024 13:05
297,27.6,59.8,12/09/2024 13:05
298,27.6,59.6,12/09/2024 13:05
299,27.6,59.6,12/09/2024 13:05
300,27.6,59.7,12/09/2024 13:05
301,27.6,59.7,12/09/2024 13:06
302,27.6,59.7,12/09/2024 13:06
303,27.6,59.7,12/09/2024 13:06
304,27.6,59.7,12/09/2024 13:06
305,27.6,59.6,12/09/2024 13:06
306,27.6,59.4,12/09/2024 13:07
307,27.6,59.4,12/09/2024 13:07
308,27.7,59.3,12/09/2024 13:07
309,27.7,59.2,12/09/2024 13:07
310,27.6,59.3,12/09/2024 13:07
311,27.7,59.6,12/09/2024 13:07
312,27.6,59.6,12/09/2024 13:08
313,27.6,59.6,12/09/2024 13:08
314,27.7,60,12/09/2024 13:08
315,27.6,60.1,12/09/2024 13:08
316,27.7,60,12/09/2024 13:08
317,27.7,58.1,12/09/2024 13:09
318,27.7,57.1,12/09/2024 13:12
319,27.7,57,12/09/2024 13:12
320,27.7,58.3,12/09/2024 13:12
